Accuracy across 15 UCI datasets,Rows,Categories,MVNet - 1block, MVNet - 3block,SNN,ReluNet
abalone,4177,3,52.3,33.0,39.5,31.2
annealing,898,5,45.7,17.1,20.8,1.5
balance-scale,625,3,46.5,43.9,49.7,45.6
bank,4521,2,85.9,70.7,50.9,11.9
blood,748,2,66.8,70.2,39.8,74.7
car,1728,4,43.0,52.2,34.5,4.3
chess-krvkp,3196,2,59.7,55.1,51.6,46.6
conn-bench-vowel-deterding,990,11,11.3,8.3,13.3,7.9
hill-valley,1212,2,49.6,49.1,49.7,49.0
image-segmentation,2310,7,46.3,12.2,33.2,13.8
led-display,1000,10,8.9,6.1,14.3,10.7
page-blocks,5473,5,90.0,90.1,58.1,2.9
spambase,4601,2,73.8,54.7,72.2,60.8
synthetic-control,600,6,19.8,13.3,23.3,16.0
tic-tac-toe,958,2,56.1,58.0,41.9,35.0
average,2202,4.4,50.4,42.3,39.5,27.5
